event-id,visible,timestamp,location-long,location-lat,gundi:gundi-urn,import-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
30579293977,true,2022-05-09 05:02:00.000,30.75882,-23.93766,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579293979,true,2022-05-09 09:10:00.000,30.75567,-23.94889,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579293980,true,2022-05-09 13:07:00.000,30.75741,-23.94782,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579293981,true,2022-05-09 17:16:00.000,30.75196,-23.94222,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579293986,true,2022-05-10 01:18:00.000,30.7497,-23.94532,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579293988,true,2022-05-10 05:34:00.000,30.75114,-23.94584,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579293997,true,2022-05-11 10:17:00.000,30.74957,-23.95086,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294003,true,2022-05-11 22:36:00.000,30.75638,-23.94498,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294009,true,2022-05-12 15:13:00.000,30.76069,-23.94296,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294012,true,2022-05-12 19:13:00.000,30.75854,-23.94276,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294014,true,2022-05-13 03:22:00.000,30.75912,-23.94491,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294018,true,2022-05-13 15:49:00.000,30.75743,-23.94167,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294022,true,2022-05-13 23:52:00.000,30.75914,-23.94511,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294025,true,2022-05-14 04:05:00.000,30.7594,-23.94427,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294027,true,2022-05-14 08:10:00.000,30.76221,-23.94292,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294029,true,2022-05-14 16:32:00.000,30.75968,-23.94244,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294032,true,2022-05-14 20:24:00.000,30.75736,-23.94159,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294037,true,2022-05-15 04:46:00.000,30.76404,-23.94002,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294042,true,2022-05-15 17:08:00.000,30.75387,-23.94556,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294047,true,2022-05-16 01:14:00.000,30.75734,-23.94196,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294049,true,2022-05-16 05:13:00.000,30.75468,-23.94335,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294052,true,2022-05-16 09:18:00.000,30.74975,-23.95175,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294054,true,2022-05-16 13:31:00.000,30.74788,-23.94956,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294058,true,2022-05-17 06:02:00.000,30.74335,-23.95089,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294060,true,2022-05-17 10:10:00.000,30.75266,-23.94997,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294062,true,2022-05-17 14:11:00.000,30.76022,-23.94634,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294064,true,2022-05-17 18:14:00.000,30.75906,-23.94205,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294066,true,2022-05-18 06:46:00.000,30.74342,-23.95053,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294067,true,2022-05-18 14:54:00.000,30.73711,-23.95108,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294069,true,2022-05-18 18:48:00.000,30.73408,-23.9517,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294076,true,2022-05-19 15:18:00.000,30.71303,-23.96283,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294083,true,2022-05-20 03:33:00.000,30.70417,-23.96168,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294087,true,2022-05-20 11:53:00.000,30.69443,-23.95302,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294089,true,2022-05-20 15:56:00.000,30.69348,-23.95757,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294095,true,2022-05-21 04:14:00.000,30.68956,-23.95428,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294097,true,2022-05-21 08:27:00.000,30.71511,-23.93842,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294101,true,2022-05-21 16:43:00.000,30.72614,-23.92964,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294103,true,2022-05-21 20:52:00.000,30.72809,-23.92902,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294106,true,2022-05-22 00:58:00.000,30.72936,-23.92998,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294108,true,2022-05-22 05:07:00.000,30.72915,-23.92883,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
30579294110,true,2022-05-22 08:59:00.000,30.72981,-23.93155,,,"gps","Giraffa giraffa","twiga_ceres_tag.0-3602193.6c0827c0-b495-4c17-aae9-3fd06d752987","GCF00406_2823","Giraffe_ZAF_Selati"
