event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
30579322419,true,2016-06-08 13:28:00.000,29.92112,-21.6991,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322421,true,2016-06-08 18:28:00.000,29.92593,-21.69308,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322423,true,2016-06-08 23:28:00.000,29.92603,-21.69298,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322425,true,2016-06-09 04:28:00.000,29.92573,-21.69055,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322427,true,2016-06-09 09:28:00.000,29.91797,-21.69128,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322429,true,2016-06-09 14:28:00.000,29.93073,-21.69148,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322431,true,2016-06-09 19:28:00.000,29.93337,-21.68045,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322433,true,2016-06-10 00:28:00.000,29.94062,-21.67003,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322435,true,2016-06-10 05:29:00.000,29.93647,-21.66738,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322437,true,2016-06-10 10:28:00.000,29.9309,-21.67285,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322439,true,2016-06-10 15:28:00.000,29.92665,-21.69287,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322441,true,2016-06-10 20:28:00.000,29.9215,-21.69298,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322443,true,2016-06-11 01:28:00.000,29.91663,-21.69948,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322445,true,2016-06-11 06:28:00.000,29.90555,-21.70917,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322447,true,2016-06-11 11:28:00.000,29.87448,-21.7689,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322449,true,2016-06-11 16:28:00.000,29.91037,-21.79128,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322451,true,2016-06-11 21:28:00.000,29.91578,-21.79205,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322453,true,2016-06-12 02:28:00.000,29.91572,-21.79227,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322455,true,2016-06-12 07:28:00.000,29.94638,-21.78978,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322457,true,2016-06-12 12:28:00.000,29.95865,-21.7863,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322459,true,2016-06-12 17:28:00.000,29.98057,-21.79062,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322461,true,2016-06-12 22:28:00.000,29.98927,-21.79138,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322463,true,2016-06-13 03:28:00.000,29.98923,-21.79135,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322465,true,2016-06-13 08:28:00.000,29.9926,-21.78798,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322467,true,2016-06-13 13:28:00.000,30.00287,-21.78777,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322469,true,2016-06-13 18:28:00.000,29.99388,-21.7916,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322471,true,2016-06-13 23:28:00.000,29.99382,-21.79143,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322473,true,2016-06-14 04:28:00.000,29.99317,-21.78985,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322475,true,2016-06-14 09:28:00.000,29.99243,-21.78735,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322477,true,2016-06-14 14:28:00.000,29.98838,-21.78692,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322479,true,2016-06-14 19:28:00.000,29.98627,-21.78762,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322481,true,2016-06-15 00:28:00.000,29.98615,-21.78763,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322483,true,2016-06-15 05:28:00.000,29.9856,-21.78777,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322485,true,2016-06-15 10:28:00.000,29.97658,-21.789,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322487,true,2016-06-15 15:28:00.000,29.9667,-21.78932,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322489,true,2016-06-15 20:28:00.000,29.96655,-21.78897,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322491,true,2016-06-16 01:28:00.000,29.9668,-21.78837,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322493,true,2016-06-16 06:28:00.000,29.96972,-21.78838,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322495,true,2016-06-16 11:28:00.000,29.96915,-21.78757,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322497,true,2016-06-16 16:28:00.000,29.97038,-21.78762,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322499,true,2016-06-16 21:28:00.000,29.9703,-21.78842,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322501,true,2016-06-17 02:28:00.000,29.97083,-21.78668,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322503,true,2016-06-17 07:28:00.000,29.97155,-21.78738,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322505,true,2016-06-17 12:28:00.000,29.97427,-21.78647,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322507,true,2016-06-17 17:28:00.000,29.97037,-21.78793,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
30579322509,true,2016-06-17 22:28:00.000,29.97655,-21.78622,"gps","Giraffa giraffa","SAT1991","GCF00172_1991","Giraffe_ZWE_Bubye"
